Название песни,Музыка,Слова,Текст песни
В путь-дорожку дальнюю,М. Блантер,С. Островой,"В путь-дорожку дальнюю
Я тебя отправлю,
Упадёт на яблоню
Алый цвет зари.
Подари мне, сокол,
На прощанье саблю,
Вместе с вострой саблей
Пику подари.
Подари мне, сокол,
На прощанье саблю,
Вместе с вострой саблей
Пику подари.

Я на кончик пики
Повяжу платочек,
На твои на синие
Погляжу глаза.
Как взмахнёт платочек,
Я всплакну чуточек,
По дарёной сабле
Побежит слеза.
Как взмахнёт платочек,
Я всплакну чуточек,
По дарёной сабле
Побежит слеза.

Затоскует горлинка
У хмельного тына.
Я к воротам строганным 
Подведу коня.
Эх, ты на стремя встанешь,
Поцелуешь сына.
У зеленой ветки
Обнимешь меня.
Ты на стремя встанешь,
Поцелуешь сына.
У зеленой ветки
Обнимешь меня.


Стану петь я песни,
Косы я расправлю,
Пуще всех соколиков
Сокола любя.
Да с дарёной пикой,
Да с дарёной саблей
Мимо всей станицы
Провожу тебя.
Да с дарёной пикой,
Да с дарёной саблей
Мимо всей станицы
Провожу тебя.

Так летай ты, сокол,
Всех быстрей, да краше.
За Кубань, за Родину
Отличись в бою.
Пусть тебе, мой сокол,
На прощанье наше
Ветер вслед уносит
Песенку мою.
Пусть тебе, мой сокол,
На прощанье наше
Ветер вслед уносит
Песенку мою.

Подари мне, сокол,
На прощанье саблю,
Вместе с вострой саблей
Пику подари.
Подари мне, сокол,
На прощанье саблю,
Вместе с вострой саблей
Пику подари."
В теплушке,Листов,,"В теплушке

Музыка: Листов Догорает за Волгой закат, 
А по рельсам составы гремят
И увозят теплушки солдат, 
Отстоявших в боях Сталинград.

Над Землёю небес океан, 
В тёплом воздухе пахнет весной,
А в теплушке играет баян 
И поёт старшина молодой..."
В Черёмушках,Сигизмунд Кац,Леонид Куксо,"На улице кленовая колышится листва:
Чудесна наша новая, просторная Москва!
Во всех окошках светятся весёлые огни -
При ясном свете месяца так дороги ониЯ влюблён, я влюблён
В Юго-Западный район!
Под Москвою, словно в сказке,
Словно в сказке, вырос он!
Я влюблён, я влюблён
В Юго-Западный район!

Хорош он днём и вечером, и утренней порой,
Когда спешит навстречу нам народ наш трудовой.
В Черёмушках черёмуха душистая цветёт,
И звонче голосистая гармонь моя поёт"
В честь друзей и подруг,Б. Мокроусов,Л. Ошанин,"Друзья! За весёлым и дружным столом        
Тесен круг, тесен круг!                    
Давайте застольную песню споём             
В честь друзей и подругТак выпьем за счастье Отчизны своей,       
За девушек наших, за верных друзей!        
За то, чтоб осталась душа молода           
Навсегда, навсегда!                        

Друзья! Если ж кто-то, тех слов не сказав,
Полон жаркой любви,                        
Мечту свою за руки милые взяв              
К нам на праздник зовиДрузья! Наша песня уже за окном!           
И все громче она!                          
Поёт её с нами за общим столом             
Вся родная странаДрузья! За весёлым и дружным столом        
Тесен круг, тесен круг!                    
Давайте застольную песню споём             
В честь друзей и подруг"
Вальс Садового Кольца,Евгений Птичкин,Леонид Завальнюк,"Этот вальс берёт начало возле Крымского моста.         
Он взлетел, и заиграла всеми красками Москва.          
Он рождён летучим ливнем и сияньем глаз.               
Этот юный и счастливый вальс, вальсТанцует солнце в лужицах,                              
И ветерок  - в лицо!                                   
И кружится, и кружится                                 
Садовое Кольцо!                                        

Этот вальс берёт звучанье у бездонной синевы.          
Он - как крылья за плечами, он - как молодость Москвы.
Над Колхозной, над Волхонкой, над слияньем трасс       
Пролетает этот звонкий вальс, вальсЭтот вальс дарит веселье тем, кто молод и влюблён.     
На десятки новоселий он сегодня приглашён.             
Пожелает вам удачи, скажет: ""В добрый час!""          
И помчится дальше-дальше вальс, вальс"
Венок Дуная,О. Фельцман,Е. Долматовский,"Вышла мадьярка на берег Дуная,       
Бросила в воду цветок,               
Утренней Венгрии дар принимая,       
Дальше понесся поток.                
Этот поток увидали словаки           
Со своего бережка.                   
Стали бросать они алые маки,         
Их принимала река.                   

Дунай, Дунай,                        
А ну, узнай,                         
Где чей подарок!                     
К цветку цветок                      
Сплетай венок,                       
Пусть будет он красив и ярок.        

Встретились в волнах болгарская роза
И югославский жасмин.                
С левого берега лилию в росах        
Бросил вослед им румын.              
От Украины, Молдовы, России          
Дети Советской страны                
Бросили тоже цветы полевые           
В гребень дунайской волны.           

Дунай, Дунай,                        
А ну, узнай,                         
Где чей подарок!                     
К цветку цветок                      
Сплетай венок,                       
Пусть будет он красив и ярок."
Версты,В.Соловьев-Седой,Л.Ошанин,"Вёрсты, вёрсты                   
Необъятной Отчизны родной...     
Вёрсты, верстры,                 
Я вас все сосчитал по одной!     

Здесь земля молодая цветёт.      
Ходит радость у каждых ворот.    
Где ж, скажите мне, вёрсты,      
Моё счастье живёт?               

Здравствуй, здравствуй           
Голос друга на звонком ветру...  
Здравствуй, здравствуй,          
Полустанок в вишнёвом цвету!     

Я пройду мимо света в окне.      
Может выйдешь на встречу ко мне.
И заветное ""здравствуй""        
Я скажу в тишине...              

Вёрсты, вёрсты                   
Необъятной Отчизны родной...     
Вёрсты, вёрсты,                  
Я вас все сосчитал до одной!     

Наше счастье в открытом пути,    
В том, чтоб Родине ярче цвести,  
Чтоб в просторах сквозь вёрсты   
Сердце друга найти..."
Веселая колхозная,народная,колхозника Ольховского,"Ох, нам не о чем тужить          
Веселее стало жить               
В родной стороне.          

У нас родная сторона             
Счастьем, радости полна          
Небывалого                 

Распрекрасный наш народ          
Всюду весело живёт.              
Жизнь безбедная.           

У рабочего Ивана                 
Десять кресел, три дивана        
В горенке стоят.           

А колхозник Родион               
Купил новый патефон,             
Семью веселит.             

Многодетный наш Андрей           
Имел семеро детей                
Помощь получил.            

Конституцию издали,              
Всем нам право равно дали        
На свободну жизнь.        

Так, как Сталин наш мудрец,      
Конституции творец.              
Основной закон             

Мы зажиточными стали             
Вот спасибо тебе, Сталин,        
Дорогой отец!              

А нам не о чем тужить            
Веселее стало жить               
В родной стороне.       "
Веселый марш,В. Шаинский,В. Харитонов,"Надо!                                 
Надо!                                 
Надо нам, ребята,                     
Жизнь красивую прожить.               
Надо что-то важное, ребята,           
В нашей жизни совершить!              

Сама собою жизнь ведь не построится,  
Вода под камушек не потечёт.          
Нам на достигнутом не успокоиться     
И не снижать души своей полёт.        

А в небе радуга, как звонкий колокол.
А небо синее глядит в глаза.          
Мечта нам видится не белым облаком, -
Зарёй, летящею на парусах.            

А мы работаем, пускай устали мы,      
Но от усталости никто не хмур.        
Под вечер солнышку мы скажем на небе:
Не уходило б ты на перекур.           

А нашим девушкам мы скажем: милые,    
Вы спойте ласково нам о любви.        
С горами сможем мы тягаться силою,    
Нам вдохновение даёте вы!             

Надо!                                 
Надо!                                 
Надо нам, ребята,                     
Жизнь..."
Весна идёт,И. Дунаевский,М. Вольпин,"По бульварам чистым шел прохожий,     
Птицы пели трели про апрель.          
Нес прохожий                          
Толстый чернокожий                    
Многоуважаемый портфель.              
Шел мужчина чинно и солидно,          
Презирая птичий перезвон.             
По лицу мужчины было видно,           
Что весну не одобряет он              

Ему эта весна ни к чему….             
И песня не нужна никому…              
И вешняя вода ерунда..                

Да! Да! Ерунда!                       

Журчат ручьи,                         
Кричат грачи,                         
И тает снег, и сердце тает.           
И даже пень                           
В апрельский день                     
Березкой снова стать мечтает.         
Веселый шмель гудит весеннюю тревогу,
Кричат задорные веселые скворцы,      

Кричат скворцы                        
Во все концы:                         
«Весна идет — весне дорогу!»"
Весна сорок пятого года,А. Пахмутова,Е. Долматовский,"Земля повернулась навстречу весне,     
Хорошая нынче погода.                  
Такою порой вспоминается мне           
Весна сорок пятого года.               
Проходят года, но не меркнет вдали     
И горе, и подвиг народа.               
Мы трудной дорогой к победе пришли     
Весной сорок пятого года.              

А если ты молод и позже рождён,        
Прими эстафетою с хода                 
Победным салютом и первым дождём       
Весну сорок пятого года.               
Страшна для врагов и светла для друзей  
Рабочая наша порода.                   
Есть в каждой победе твоей и моей      
Весна сорок пятого года.               

Да будет ракетою ввысь взметена,       
В прозрачную высь небосвода            
Для всех поколений, на все времена     
Весна сорок пятого года!"
Вечер на рейде,Василий Соловьев-Седой,Александр Дмитриевич Чуркин,"Споёмте, друзья,              
Ведь завтра в поход           
Уйдём в предрассветный туман.
Споём веселей,                
Пусть нам подпоёт             
Седой боевой капитан.         

Прощай, любимый город,        
Уходим завтра в море.         
И ранней порой                
Мелькнёт за кормой            
Знакомый платок голубой.      

А вечер опять                 
Хороший такой,                
Что песен не петь             
Нам нельзя.                   
О дружбе большой,             
О службе морской              
Подтянем дружнее, друзья.     

Прощай, любимый город,        
Уходим завтра в море.         
И ранней порой                
Мелькнёт за кормой            
Знакомый платок голубой.      
Прощай, любимый город,        
Уходим завтра в море.         
И ранней порой                
Мелькнёт за кормой            
Знакомый платок голубой.      

На рейде большом              
Легла тишина,                 
А море окутал туман.          
И берег родной                
Целует волна,                 
И тихо доносит баян.          

Прощай, любимый город,        
Уходим завтра в море.         
И ранней порой                
Мелькнёт за кормой            
Знакомый платок голубой.      
Прощай, любимый город,        
Уходим завтра в море.         
И ранней порой                
Мелькнёт за кормой            
Знакомый платок голубой."
Виден сокол по полёту,Людмила Лядова,Георгий Ходосов,"Он фуражку носит ладно -
Чуть-чуточек набекрень,
Заправляет аккурантно
Гимнастёрку под ремень.
Каблуки мелькают чётко,
Через ровный интервал.
Видно парня по походке,
Что в солдатах побывал!

Если встретится с девицей,
Скажет, взяв под козырёк:
""Разрешите обратиться,
Мимо вас пройти не мог.
Я таких красавиц сроду
В нашем крае не видал!""
Видно парня по подходу,
Что в солдатах побывал!

Если встанет вдруг машина,
Он к машине подойдёт,
Разберётся, в чём причина,
И машину заведёт!
В жизни нет такой загадки,
Чтобы он не разгадал.
Видно парня по ухватке,
Что в солдатах побывал!

Он во всех делах бывалый,
Он нигде не подведёт.
Вот таких парней немало
Наша армия даёт!
Загляни в любую роту,
На ученье, на привал, -
Виден сокол по полёту,
Что солдатом побывал!"
Винтовка,М. Иорданский,А. Лугин,"С юга до Урала                                            
Ты со мной шагала                                         
Партизанскою тропой.                                      
И врагов, бывало,                                         
Падало немало                                             
Там, где пробирались мы с тобой
Эх, бей, винтовка, метко, ловко,                          
Без пощады по врагу!                                      
Я тебе, моя винтовка,                                     
Острой саблей помогу.                                     

Ты и нынче та же –                                        
День и ночь на страже                                     
В пограничной полосе.                                     
След мы видим вражий,                                     
Шорох ловим каждый,                                       
Знаем мы врага уловки все.                                

Враг недаром злится:                                      
На замке граница.                                         
Не отступим никогда!                                      
Нет нам большей чести –                                   
Остаёмся вместе                                           
В армии родимой навсегда.                                 

Мы готовы к бою                                           
С армией любою.                                           
Коль придется воевать,                                    
Будем биться двое –                                       
Я и ты со мною,                                           
Вместе нам привычно побеждать.                            


В битве мы недавно,                                       
Воевали славно:                                           
Был урок японцем дан.                                     
Билась не одна ты-                                        
Помогли гранты                                            
В битвах возле озера Хасан!                               
        

Враг не даром злится,                                     
Враг не зря боится-                                       
Партизанских наших рот.                                   
Ночь - ему не спится,                                     
А заснет - так снится                                     
Четкий партизанский пулемет!"
Вместе с Комсомолом навсегда!,Ю.Чичков,М.Пляцковский,"Мы глядим в грядущее уверенно,           
В жизни цель - прекрасна и светла.       
И недаром Родина доверила                
Нам, ребята, важные дела.                
/И недаром Родина доверила     
Нам, ребята, важные делаГалстук пионерский на груди,             
Новые дороги впереди.                    
Для победы, счастья и труда,             
Вместе с комсомолом навсегда!          
/Вместе с комсомолом навсегда!      

Нам даря улыбку неизменную,              
В небе солнце яркое горит.               
Нужно быть отцам достойной сменою -      
Вот что комсомол нам говорит.            
/Нужно быть отцам достойной сменою
Вот что комсомол нам говорит
Наше подрастает поколение,               
Чтобы каждый путь к мечте нашёл.         
Счастье - это Родине служение,           
Вот чему нас учит комсомол.              
                                
Вот чему нас учит комсомол
Вместе с комсомолом навсегда!"
Возьми гитару!,А. Лепин,М. Пляцковский,"Возьми гитару - ей лет немало,
Сыграй негромко, пройдись по струнам                             бурым.
Возьми гитару - она звучала 
Давно когда-то в палатке над Амуром.
Возьми гитару - она, бывало,
Ребят озябших в морозы согревала,-
Что ей беды и года 
Да злые холода,- 
Всегда гитара молода.

Возьми гитару, возьми гитару,
Ведь чью-то юность в руки я тебе даю.
Возьми гитару, возьми гитару,
Сыграй, а я тихонько струнам подпою.
Гитара помнит, гитара знает
Слова, которые я так ищу сейчас...
Пусть я молчу,
Пусть ты молчишь,-
Гитара скажет все за нас.

Спроси гитару, она расскажет,
Как травы никли, сожжённые снарядом.
Спроси гитару, она расскажет, 
Как в час суровый была с друзьями рядом.
О чьих-то встречах, о днях прощанья 
В груди гитары живут воспоминанья.
Что ей беды и года 
Да злые холода? 
         Всегда гитара молода!

Возьми гитару, возьми гитару,
Ведь чью-то юность в руки я тебе даю.
Возьми гитару, бери гитару!
Сыграй, а я тихонько струнам подпою!
Гитара помнит, гитара знает
Слова, которые я так ищу сейчас...
Пусть я молчу,
Пусть ты молчишь,-
Гитара скажет все за нас.

...О чьих-то встречах, о днях прощанья 
В груди гитары живут воспоминанья.
Что ей беды и года 
Да злые холода? 
         Всегда гитара молода!"
Воспоминания об Алжире,Вано Мурадели,Евгений Долматовский,"В сапёрной части я служил, там, где берёзы и метель.           
Читал в газетах про Алжир. Он был за три-девять земель.        
И вдруг Алжир меня зовёт освободить страну от мин:             
Кто доброволец - шаг вперёд! Шагнули все, не я одинТак всю жизнь готов шагать по миру я.                          
Верные товарищи со мной.                                       
Я до основания разминирую                                      
Наш многострадальный шар земной.                               

Не брал оружие с собой. В далёкий путь я только взял,          
Я только взял в тот мирный бой миноискатели и трад.            
Прошёл я с ними весь Алжир, мне было выше весь наград,         
Что будет здесь цвести инжир, светиться будет виноградБыл ранен взрывом командир.Глушил нас гром, душил нас зной.    
И стала мне страна Алжир нежданно близкой и родной.            
Я про Алжир люблю прочесть депеши утренних газет.              
Читаю и горжусь, что есть на той земле мой добрый след"
"Вот и всё, только несколько слов...",Т. Хренников,В. Гусев,"Вот и все, только несколько слов.        
Как мне теперь не стучаться в двери? (?)
Он не поверил в мою любовь,              
В сердце мое не поверил.                 

А я-то надеялась, я-то писала,           
Я письма по всем адресам посылала.       
Я с ветром о нем говорила,               
Что вот (?) оставалась, любила.          

***                                      
Ты мне колыбельную пела.                 
Я вырос в просторах твоих.               
Заря моей жизни горела                   
На башнях твоих вековых.                 

Московский отчаянный ветер               
Пронзил меня силой своей.                
Любовь я нечаянно встретил               
На улице шумной твоей.                   

И вот расстаюсь я с тобою                
И еду в иные края,                       
Как будто далеко, далеко                 
Скрывается юность моя."
"Вперёд, Краснофлотцы",К.Корчмарев,А.Безыменский,"Низвергнута ночь. Подымается солнце                        
На гребнях рабочих колонн.                                
Вперёд, краснофлотцы, вперёд, комсомольцы,                 
На вахту грядущих вековВперёд же по солнечным реям                                
На фабрики, шахты, суда!                                   
По всем океанам и странам развеем                          
Мы алое знамя труда.                                       

Мы молот и серп зажигаем звездою                           
На небе фланелевых блуз.                                   
Наукой матрос, комсомолец – борьбою                        
Скрепляют свой братский союзМы - дети заводов и моря - упорны,                         
Мы волею словно кремни.                                    
Не страшны нам, юным, ни бури, ни штормы,                  
Ни серые страдные дниСгустились на Западе гнёта потёмки,                        
Рабочих сдавили кольцом.                                   
Но грянет и там броненосец «Потёмкин»,                     
Но только с победным концомСмелее, бодрее, под огненным стягом,                       
С наукой, борьбою, трудом!                                 
Пока не ударит всемирный штормяга –                        
Последняя схватка с врагомПусть сердится буря, пусть ветер неистов,-                 
Растёт наш рабочий прибой.                                 
Вперёд, комсомольцы! Вперёд, коммунисты!                   
Вперёд, краснофлотцы, на бой"
"Все, чем теперь сильны мы и богаты",Зиновий Компанеец,Александр Жаров,"Промчались годы боевые,               
В сердцах оставив вечный след.        
Мы, их свидетели живые,               
Земле несём победный светВсё, чем теперь сильны мы и богаты,   
Всё, чем отныне Родине горда,         
В жарких сражениях с боем нами взято,
Славой народа стало навсегда!         

Везде, где руки поднимает народ       
На грязных палачей,                   
Отчизну нашу называют                 
Надеждой светлою своейВесь мир труда сегодня с нами,        
И мы сердцами вместе с ним.           
Зовут повсюду наше знамя              
Любимым знаменем своимИ нас, людей Страны Советов,          
Родными братьями зовут.               
И имя Сталина приветом                
Из уст в уста передают!"
Всегда в пути,О. Фельцман,В. Орлов,"На дальних разъездах гудят поезда.     
Ночами уходят в поход корабли.         
Их ждут океаны, их ждут города         
Моей необъятной землиПесня звенит на восходе,               
Зовет нас за счастьем идти.            
Счастья не ждут, счастье находят       
Лишь те, кто всегда в пути.            

Нам молодость наша дана не навек.      
Спеши за мечтою в неведомый край.      
И все, что ты можешь отдать, человек, 
Для мира и счастья отдайВперед, беспокойная юность моя!        
Чтоб мирные рощи повсюду цвели         
Покоя не ищут, не ждут сыновья         
Моей необъятной земли"
"Вставайте, люди русские!",Сергей Прокофьев,В. Луговской,"Вставайте, люди русские              
На славный бой, на смертный бой !    
Вставайте люди вольные               
За нашу землю честную !              

Живым бойцам - почёт и честь         
А мёртвым - слава вечная !           
За отчий дом, за Русский Край        
Вставайте люди русские !             

Вставайте, люди русские              
На славный бой, на смертный бой !     
Вставайте люди вольные               
За нашу землю честную !              

На Руси родной, на Руси большой      
Не бывать врагу !                    
Поднимайся, встань,                  
Мать родная, Русь !                  
На Руси родной, на Руси большой      
Не бывать врагу !                    
Поднимайся, встань,                  
Мать родная, Русь !                  

Вставайте, люди русские              
На славный бой, на смертный бой !    
Вставайте люди вольные               
За нашу землю честную !              

Врагам на Русь не хаживать,          
Полков на Русь не важивать !         
Путей на Русь не видывать,           
Полей Руси не таптывать !            

Вставайте, люди русские              
На славный бой, на смертный бой !    
Вставайте люди вольные               
За нашу землю честную !!!"
Где ж ты мой сад,В. Соловьёв-Седой,А. Фатьянов,"Где ж ты, мой сад, вешняя заря,             
Где же ты, подружка, яблонька моя,          
Я знаю, родная, ты ждешь меня, хорошая моя,
Я знаю, родная, ты ждешь меня, хорошая моя.
Снятся бойцу карие глаза                    
На ресницах темных светлая слеза            
Святая, скупая, девичья горючая слеза,      
Святая, скупая, девичья горючая слеза.      
Мне нелегко до тебя дойти,                  
Ты меня, родная, жди и не грусти,           
Приеду с победой,                           
Твоя любовь хранит меня в пути.             
Где ж ты, мой сад, вешняя заря,             
Где же ты, подружка, яблонька моя,          
Я знаю, родная, ты ждешь меня, хорошая моя,
Я знаю, родная, ты ждешь меня, хорошая моя,
Я знаю, родная, ты ждешь меня, хорошая моя,
Я знаю, родная, ты ждешь меня, хорошая моя."
Где тайга притаилась седая,Б. Терентьев,А. Досталь,"Ярко светит над Родиной солнце,      
И зовет молодая земля.               
Вновь уходят в поход комсомольцы,   
Их встречают родные поля.            

Где тайга притаилась седая,          
Там работе кипеть через край!        
Расцветай же, земля молодая,         
Расцветай, расцветай, расцветай!     

Не беда, что сначала палатки!        
Мы придем, обживемся, а там          
Комсомольские наши повадки           
Мы привьем молодым городам.          

По земле молодой и красивой          
Мы пройдем, чтоб росли города.       
Не сломить нашу юную силу            
Никому, ни за что, никогда!          

Говорят, что сурова природа,         
Только те, кто в палатках не жил.   
Здесь изменит любую погоду           
Этих сказочных мест старожил.        

Наш встречают родные просторы,       
Путь далек нынче нам и широк        
Расступаются степи и горы            
На восток, на восток, на восток!"
Где то в далекой России,В Драмант,А Досталь,"Здесь над седыми волнами          
Ветер поёт, ветер поёт...         
Где-то вдали за морями            
Милая ждётПенятся гребни крутые,            
Брызги летят, брызги летят...     
Где-то в далёкой России           
Сосны, сосны шумят...             

Волны вздымаются выше,            
Грозно звеня, грозно звеня...     
Если ты песню услышишь,           
Вспомни меняТёмное, далнее небо               
Здесь надо мной, здесь надо мной,
Как далеко бы я ни был,           
В сердце со мной"
Главное ребята сердцем не стареть -Иврит,А. Пахмутова,Н. Добронравов пер. Ш. Резник,"Главное, ребята, сердцем не стареть,                 
Песню, что придумали, до конца допеть.               
в дальний путь собрались мы, а в этот край таежный  
Только самолетом можно долететьА ты, улетающий вдаль самолет                        
В сердце своем сбереги...                            
Под крылом самолета о чем-то поет                    
Зеленое море тайги.                                  

Летчик над тайгою точный курс найдет,                
Прямо на поляну посадит самолет.                     
Выйдет в незнакомый мир, ступая по-хозяйски          
В общем-то зеленый, молодой народТам веками ветры да снега мели,                      
Там совсем недавно геологи прошли.                   
Будем жить в поселке мы пока-что небогатом,          
Чтобы все богатства взять из под землиМчатся самолеты выше облаков,                        
Мчатся чуто похожие на больших орлов.                
Мчатся над тобой они, а знаешь, дорогая,             
Лету к нам в Таежный несколько часовА ты, улетающий вдаль самолет                        
В сердце своем сбереги...                            
Под крылом самолета о чем-то поет                    
Зеленое море тайги."
Гляжу в озёра синие,Леонид Афанасьев,Игорь Шаферан,"Гляжу в озера синие,         
В полях ромашки рву.         
Зову тебя Россиею,           
Единственной зову.           

Спроси, переспроси меня:     
Милее нет земли.             
Меня здесь русским именем    
Когда-то нарекли.            

Гляжу в озера синие,         
В полях ромашки рву.         
Зову тебя Россиею,           
Единственной зову.           

Не знаю счастья большего,    
Чем жить одной судьбой.      
Грустить с тобой, земля моя,
И праздновать с тобой.       

Красу твою не старили        
Ни годы, ни беда.            
Иванами да Марьями           
Гордилась ты всегда.         

Не все вернулись соколы,     
Кто жив, а кто убит,         
Но слава их высокая          
Тебе принадлежит.            

Красу твою не старили        
Ни годы, ни беда.            
Иванами да Марьями           
Гордилась ты всегда.         

Не знаю счастья большего,    
Чем жить одной судьбой.      
Грустить с тобой, земля моя,
И праздновать с тобой.       

Не знаю счастья большего,    
Чем жить одной судьбой.      
Грустить с тобой, земля моя,
И праздновать с тобой."
Говорят у нас в Донбассе,З. Дунаевский,С. Цванг,"Говорят, у нас в Донбассе только пыль.      
Говорят, в степи колышется ковыль.          
Горняки лишь только уголь выдают,           
Ну а песен здесь хороших не поютГоворят? Говорят! Ведь не знают - говорят.   
Говорят? Говорят! Ну и зря говорят.         

Что за басни сочиняют, что за вздор!        
Отвечает тут заслуженный шахтер:            
Здесь кругом сады зеленые цветут,           
Здесь и песни развеселые поютГоворят? Говорят! Те, кто знают - говорят.   
Говорят? Говорят! И не зря говорят.         

Говорят, в Донбассе черные дома,            
А от дыма день и ночь густая тьма.          
Здесь и девушек красивых не найдешь,        
А пойдешь не глядя - в шахту упадешьГоворят? Говорят! Ведь не знают - говорят.   
Говорят? Говорят! Ну и зря говорят.         

Но и тут у нас ответ давно готов:           
Не узнать сейчас донецких городов.          
Небо чистое не хуже, чем в Крыму.           
Здесь и девушка по сердцу моемуГоворят? Говорят! Те, кто знают - говорят.   
Говорят? Говорят! И не зря говорят.         

Говорят, что будет доля нелегка,            
Если замуж выйти мне за горняка.            
Будет больше, чем жену, любить забой.       
Говорят: не будь шахтеровой женойГоворят? Говорят! Ведь не знают - говорят.   
Говорят? Говорят! Ну и зря говорят.         

Я послушала, плечами повела                 
И знатного шахтера я пошла.                 
А подруге написала: приезжай,               
Обязательно шахтера выбирайГоворят? Говорят! Те, кто знают - говорят.   
Говорят? Говорят! И не зря говорят."
